1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
20,Deutsche Expedition,Q506890,,,Gottfried Rudolph Christian Zachariä,Gottfried Rudolph Christian Zachariä,neuandere Quali,Comißions-Registrator,,,,,,,,,,,,,,,,
21,Französische Expedition,Q506891,,,Jaoqunes Auguste Roussenau,Jaoqunes Auguste Roussenau,unverändert,Hofrath,,,,,,,,,,,,,,,,
22,Französische Expedition,Q506891,,Q507003,Abraham Samuel Perrin,Abraham Samuel Perrin,unverändert,Geheimer Post-Secetarius,,,,,,,,,,,,,,,,
23,Französische Expedition,Q506891,,Q513358,Michael Meißner,Michael Meißner,unverändert,,,,,,,,,,,,,,,,,
24,Französische Expedition,Q506891,,Q507067,August Jacob Hild,August Jacob Hild,unverändert,Substitut,,,,,,,,,,,,,,,,
25,Geheimes Archiv,Q506894,,Q14201,Ludwig Christian Lichtenberg,Ludwig Christian Lichtenberg,unverändert,Geheimer Secetarius,Geheimer Archivarius,,,,,,,,,,,,,,,
26,Geheimes Archiv,Q506894,,Q513373,Johann Friedrich Wilhelm Gotter,Johann Friedrich Wilhelm Gotter,unverändert,Legations Secretarius,,,,,,,,,,,,,,,,
27,Geheimes Archiv,Q506894,,Q507011,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geh. Canzley Secretarius,,,,,,,,,,,,,,,,
28,Geheimes Archiv,Q506894,,Q99153,Philipp Friedrich Welker,Philipp Friedrich Welker,unverändert,Geheimer Arcivar,,,,,,,,,,,,,,,,
29,Geheimes Archiv,Q506894,,,Johann Carl Friedrich Jenichen,Johann Carl Friedrich Jenichen,unverändert,Legat.Secret.,,,,,,,,,,,,,,,,
30,Geheimes Archiv,Q506894,,,Ernst Friedrich Schneider,Ernst Friedrich Schneider,andere Qualli,Geheimer Registrator,,,,,,,,,,,,,,,,
31,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q513256,Ernst August von Studnitz,Ernst August von Studnitz,unverändert,Wirklicher geheimer Rat,Canzler,,,,,,Gotha,,,,,,,,,
32,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q192534,Heinrich Christoph Bertuch,Heinrich Christoph Bertuch,unverändert,Hofrath,Steuer Assessor,,,,,,,,,,,,,,,
33,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q219440,August Friedrich Carl von Ziegesar,August Friedrich Carl von Ziegesar,unverändert,Cammerherr,Hof Rath,,,,,,,,,,,,,,,
34,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q468898,Christian Ludwig Heinrich Jäger,Christian Ludwig Heinrich Jäger,unverändert,Hofrath,,,,,,,,,,,,,,,,
35,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q28056,Friedrich Emilius von Uechtritz,Friedrich Emilius von Uechtritz,andere Qualli,Hofrath,Cammerhrr,,,,,,,,,,,,,,,
36,Herzogliche Landes-Regierung zu Gotha,Q506759,,,Carl Adolph Walcher,Carl Adolph Walcher,unverändert,Hofrath,,,,,,,,,,,,,,,,
37,Herzogliche Landes-Regierung zu Gotha,Q506759,,Q193264,Heinrich von Bunau,Heinrich von Bünau,andere Qualli,Regierungs-Ratr,Hofjunker,,,,,,,,,,,,,,,
38,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q97795,Christian Friedrich Brückner,Christian Friedrich Brückner,unverändert,Rath ,Regierungs Secretarius,,,,,,,,,,,,,,,
39,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q99182,Johann Christoph Beck,Johann Christoph Beck,andere Qualli,Lehns Secretarius,,,,,,,,,,,,,,,,
40,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507016,August Gottfried Hessen,August Gottfried Hessen,unverändert,Rath,Gerichts Secretarius,,,,,,,,,,,,,,,
41,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192750,Friedrich Daniel Schlichtegroll,Friedrich Daniel Schlichtegroll,unverändert,Regierungs-Secretarius,,,,,,,,,,,,,,,,
42,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q262833,Albrecht Carl Brückner,Albrecht Carl Brückner,unverändert,Sekretarius,,,,,,,,,,,,,,,,
43,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q193191,Friedrich Benjamin Krügelstein,Friedrich Benjamin Krügelstein,unverändert,Rgierungs- Secret,,,,,,,,,,,,,,,,
44,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q192809,Johann Michael Witzmann,Johann Michael Witzmann,unverändert,Bothenmeister,,,,,,,,,,,,,,,,
45,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,Andreas Christoph Welker,Andreas Christoph Welker,andere Qualli,Regierungs-Registrator,,,,,,,,,,,,,,,,
46,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,Christian Martin Adolph Tamm,Christian Martin Adolph Tamm,unverändert,Registrator,,,,,,,,,,,,,,,,
47,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507018,Johann Wilhelm Friedrich Steger,Johann Wilhelm Friedrich Steger,andere Qualli,Registrator,,,,,,,,,,,,,,,,
48,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507024,Christian Ludwig Stark,Christian Ludwig Stark,unverändert,Kanzlist,,,,,,,,,,,,,,,,
49,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,Q507020,Johann Christoph Kerst,Johann Christoph Kerst,unverändert,Kanzlist,,,,,,,,,,,,,,,,
50,Canzlei der Herzoglichen Landes-Regierung zu Gotha,Q506796,,,Christian Friedrich Schifner,Christian Friedrich Schifner,unverändert,Kanzlist,,,,,,,,,,,,,,,,
51,,,,,Johann Georg Schneegaß,Johann Georg Schneegaß,unverändert,Kanzlist,,,,,,,,,,,,,,,,
52,Ober-Vormundschafts-Expedition,Q506761,,Q99182,Johann Christoph Beck,Johann Christoph Beck,unverändert,Lehns Secretarius,Ober Vormundschaftzs Secretarius,,,,,,,,,,,,,,,
53,Ober-Vormundschafts-Expedition,Q506761,,,Friedrich Benjamin Krügelstein,Friedrich Benjamin Krügelstein,unverändert,Regierungs Secretarius,Ober Vormundschaftzs Secretarius,,,,,,,,,,,,,,,
54,Ober-Vormundschafts-Expedition,Q506761,,Q507021,Christian Martin Adolph Tamm,Christian Martin Adolph Tamm,unverändert,Registrator,,,,,,,,,,,,,,,,
55,,,,,Andreas Christoph Welker,Andreas Christoph Welker,unverändert,Regierungs Registrator,,,,,,,,,,,,,,,,
56,Fiscal,Q506895,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,andere Qualli,Regierungs Fiscal,,,,,,,,,,,,,,,,
57,,,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,Cammer-Secretaar,Cammer-Procurator,Regierungs Fiscal,,,,,,,,,,,,,,
58,Ober-Policen Commissarius,Q506797,,Q507022,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,Ober-Policen Commissarius,,,,,,,,,,,,,,,,
59,Ober-Policen Commissarius,Q506797,,Q157178,Johann Friedrich Benedict Albrecht,Johann Friedrich Benedict Albrecht,unverändert,Land-Policey-Inspector,,,,,,,,,,,,,,,,
60,Ober-Policen Commissarius,Q506797,,,Johann Paul Völker,Johann Paul Völker,unverändert,Land-Policey-Inspector,,,,,,,,,,,,,,,,
61,Ober-Policen Commissarius,Q506797,,Q192273,Johann Friedrich Möller,Johann Friedrich Möller,unverändert,Policey-Commissarius,,,,,,,,,,,,,,,,
62,Versetzstube,Q506799,,Q507024,Cristian Ludwig Stark,Cristian Ludwig Stark,unverändert,Kanzlist,Nachschreiber,,,,,,,,,,,,,,,
63,Versetzstube,Q506799,,,Cristian Friedrich Schifner,Cristian Friedrich Schifner,unverändert,Kanzlist,Nachschreiber,,,,,,,,,,,,,,,
64,Ordinarii,Q506803,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,unverändert,Rath,Cammer Cottsulent,Regierungs Fiscal,,,,,,,,,,,,,,
65,Ordinarii,Q506803,,Q157196,Johann Friedrich Freytag,Johann Friedrich Freytag,unverändert,Rath,,,,,,,,,,,,,,,,
66,Ordinarii,Q506803,,Q513321,Wilhelm Franz Heß,Wilhelm Franz Heß,unverändert,,,,,,,,,,,,,,,,,
67,Ordinarii,Q506803,,Q507040,Friedrich Christoph Gotthard John,Friedrich Christoph Gotthard John,unverändert,,,,,,,,,,,,,,,,,
68,Ordinarii,Q506803,,Q507041,Ludwig Ernst Wilhelm Hessen,Ludwig Ernst Wilhelm Hessen,unverändert,Rath,,,,,,,,,,,,,,,,
69,Ordinarii,Q506803,,Q507011,Johann Siegmund Friedrich Waiß,Johann Siegmund Friedrich Waiß,unverändert,Geheimer Canzley-Secretarius,,,,,,,,,,,,,,,,
70,Ordinarii,Q506803,,Q507045,Johann Georg Burkardt,Johann Georg Burkardt,unverändert,,,,,,,,,,,,,,,,,
71,Ordinarii,Q506803,,Q22952,Wilhelm Heinrich Jacobs,Wilhelm Heinrich Jacobs,unverändert,Proconsul,,,,,,,,,,,,,,,,
72,Extraordinarit,Q510693,,Q513284,Johann Friedrich Glaser,Johann Friedrich Glaser,unverändert,,,,,,,,,,,,,,,,,
73,Extraordinarit,Q510693,,Q507042,Johann Christian List,Johann Christian List,unverändert,,,,,,,,,,,,,,,,,
74,Extraordinarit,Q510693,,Q507044,Johann Christian Hager,Johann Christian Hager,unverändert,,,,,,,,,,,,,,,,,
75,Extraordinarit,Q510693,,Q157391,Johann Heinrich Reinhardt,Johann Heinrich Reinhardt,unverändert,,,,,,,,,,,,,,,,,
76,Extraordinarit,Q510693,,Q192895,Johann Andreas Gerlach,Johann Andreas Gerlach,unverändert,Bürgermeister,,,,,,,,,,,,,,,,
77,Extraordinarit,Q510693,,Q507046,Georg Christian Eisentraut,Georg Christian Eisentraut,unverändert,,,,,,,,,,,,,,,,,
78,Extraordinarit,Q510693,,,Jacob Friedrich Wilhelm Sorge,Jacob Friedrich Wilhelm Sorge,unverändert,,,,,,,,,,,,,,,,,
79,Extraordinarit,Q510693,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,Cammer-Secretarius,,,,,,,,,,,,,,,,
80,Extraordinarit,Q510693,,,Johann Gottlieb Wagner,Johann Gottlieb Wagner,andere Qualli,,,,,,,,,,,,,,,,,
81,Extraordinarit,Q510693,,Q99128,Johann Christian Bertuch,Johann Christian Bertuch,andere Qualli,Ober-Steuer-Secretar,,,,,,,,,,,,,,,,
82,Extraordinarit,Q510693,,,Johann Georg Junker,Johann Georg Junker,unverändert,,,,,,,,,,,,,,,,,
83,Extraordinarit,Q510693,,,Christoph Gotthard Weißenborn,Christoph Gotthard Weißenborn,unverändert,,,,,,,,,,,,,,,,,
84,Extraordinarit,Q510693,,Q99153,Pfilipp Friedrich Welker,Pfilipp Friedrich Welker,andere Qualli,Geheimer Archivarius,,,,,,,,,,,,,,,,
85,Extraordinarit,Q510693,,,Julius Gottfried Lebrecht Jenichen,Julius Gottfried Lebrecht Jenichen,unverändert,,,,,,,,,,,,,,,,,
86,Extraordinarit,Q510693,,Q154940,Christian Friedrich August Brückner,Christian Friedrich August Brückner,unverändert,,,,,,,,,,,,,,,,,
87,Extraordinarit,Q510693,,Q36426,Heinrich Christoph Rudolph Purgold,Heinrich Christoph Rudolph Purgold,unverändert,,,,,,,,,,,,,,,,,
88,Extraordinarit,Q510693,,Q41404,Carl Friedrich Eisentraut,Carl Friedrich Eisentraut,unverändert,,,,,,,,,,,,,,,,,
89,Extraordinarit,Q510693,,Q42693,Johann Tobias Hey,Johann Tobias Hey,unverändert,,,,,,,,,,,,,,,,,
90,Extraordinarit,Q510693,,Q192905,Johann Christoph Fladung,Johann Christoph Fladung,unverändert,,,,,,,,,,,,,,,,,
91,Extraordinarit,Q510693,,,Johann Carl Friedrich Jenichen,Johann Carl Friedrich Jenichen,unverändert,Legat. Secretar,,,,,,,,,,,,,,,,
92,Amts- und Gerichts-Advocaten,,,,Johann Daniel Kämpff,Johann Daniel Kämpff,unverändert,,,,,,,,,,,,,,,,,
93,Amts- und Gerichts-Advocaten,,,Q192912,Johann Gottfried Gieblehr,Johann Gottfried Gieblehr,unverändert,,,,,,,,,,,,,,,,,
94,Amts- und Gerichts-Advocaten,,,,Gottlieb Heinrich Friedrich Thilemann,Gottlieb Heinrich Friedrich Thilemann,unverändert,,,,,,,,,,,,,,,,,
95,Amts- und Gerichts-Advocaten,,,Q507022,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,,,,,,,,,,,,,,,,,
96,Amts- und Gerichts-Advocaten,,,Q97521,Friedrich Daniel Alexander Weidner,Friedrich Daniel Alexander Weidner,unverändert,,,,,,,,,,,,,,,,,
97,Amts- und Gerichts-Advocaten,,,,Carl Wilhelm Madelung,Carl Wilhelm Madelung,unverändert,Land-Ingenieur,,,,,,,,,,,,,,,,
98,Amts- und Gerichts-Advocaten,,,Q98824,Heinrich David Ziegler,Heinrich David Ziegler,unverändert,,,,,,,,,,,,,,,,,
99,Amts- und Gerichts-Advocaten,,,,Schack Herrmann Eowald,Schack Herrmann Eowald,unverändert,,,,,,,,,,,,,,,,,
100,Amts- und Gerichts-Advocaten,,,Q77924,Georg Heinrich Junker,Georg Heinrich Junker,unverändert,,,,,,,,,,,,,,,,,
101,Amts- und Gerichts-Advocaten,,,Q77730,Carl Christian Elias Kuntz,Carl Christian Elias Kuntz,unverändert,,,,,,,,,,,,,,,,,
102,Amts- und Gerichts-Advocaten,,,,Ernst Friedrich Schneider,Ernst Friedrich Schneider,andere Qalli,Geheimer Registrator,,,,,,,,,,,,,,,,
103,Amts- und Gerichts-Advocaten,,,,Johann Friedrich Schönkopff,Johann Friedrich Schönkopff,unverändert,Ober-Stadtschreiber,,,,,,,,,,,,,,,,
104,Amts- und Gerichts-Advocaten,,,Q192959,Johann Christoph Wüstemann,Johann Christoph Wüstemann,unverändert,,,,,,,,,,,,,,,,,
105,Amts- und Gerichts-Advocaten,,,Q154998,Christian Ludwig Wagner,Christian Ludwig Wagner,unverändert,,,,,,,,,,,,,,,,,
106,Amts- und Gerichts-Advocaten,,,,Ludwig Wilhelm Zinkeisen,Ludwig Wilhelm Zinkeisen,unverändert,Kriegs-Registrator,,,,,,,,,,,,,,,,
107,Amts- und Gerichts-Advocaten,,,,Johann Heinrich Christoph Seeber,Johann Heinrich Christoph Seeber,unverändert,,,,,,,,,,,,,,,,,
108,Amts- und Gerichts-Advocaten,,,Q193016,Johann Christian Bube,Johann Christian Bube,unverändert,Audidteur,,,,,,,,,,,,,,,,
109,Amts- und Gerichts-Advocaten,,,Q192999,Carl Christian Friedrich Langheld,Carl Christian Friedrich Langheld,unverändert,,,,,,,,,,,,,,,,,
110,Amts- und Gerichts-Advocaten,,,Q193008,Johann Martin Erdmann,Johann Martin Erdmann,unverändert,,,,,,,,,,,,,,,,,
111,Amts- und Gerichts-Advocaten,,,Q491,Johann Carl Heß,Johann Carl Heß,unverändert,,,,,,,,,,,,,,,,,
112,Amts- und Gerichts-Advocaten,,,Q161248,Johann Friedrich Lauterbeck,Johann Friedrich Lauterbeck,unverändert,,,,,,,,,,,,,,,,,
113,Amts- und Gerichts-Advocaten,,,Q495901,Friedrich August Müller,Friedrich August Müller,unverändert,,,,,,,,,,,,,,,,,
114,Amts- und Gerichts-Advocaten,,,Q456346,Ernst Ludwig Hendrich,Ernst Ludwig Hendrich,unverändert,,,,,,,,,,,,,,,,,
115,Amts- und Gerichts-Advocaten,,,,Johann Gottfried Golde,Johann Gottfried Golde,unverändert,,,,,,,,,,,,,,,,,
116,Amts- und Gerichts-Advocaten,,,,Christian Friedrich Geudebrück,Christian Friedrich Geudebrück,unverändert,,,,,,,,,,,,,,,,,
117,Regierungs-Canzley,Q506827,,Q513394,Carl Berninger,Carl Berninger,unverändert,,,,,,,,,,,,,,,,,
118,Regierungs-Canzley,Q506827,,Q507049,Andreas Melchior Hirt,Andreas Melchior Hirt,unverändert,,,,,,,,,,,,,,,,,
119,Regierungs-Canzley,Q506827,,Q507052,Heinrich Jacob Hirt,Heinrich Jacob Hirt,unverändert,,,,,,,,,,,,,,,,,
120,Regierungs-Canzley,Q506827,,,Eberhard Martin Höppner,Eberhard Martin Höppner,unverändert,Beybothen,,,,,,,,,,,,,,,,
121,Regierungs-Canzley,Q506827,,Q97861,David Backhaus,David Backhaus,unverändert,Beybothen,,,,,,,,,,,,,,,,
122,Regierungs-Canzley,Q506827,,,Johann Heinrich Hanstein,Johann Heinrich Hasenstein,anderer FN,Beybothen,,,,,,,,,,,,,,,,
123,Ober Consistorium Kanzley,Q506903,,,Friedrich Carl Adam von Schwarzenfelß,Friedrich Carl Adam von Schwarzenfelß,unverändert,Ober-Consistorial,Vice -Praesident,,,,,,,,,,,,,,,
124,Ober Consistorium Kanzley,Q506903,,Q513401,Johann Heinrich Gerlach,Johann Heinrich Gerlach,andere Qualli,Geheimer Consistorial-Rath,,,,,,,,,,,,,,,,
125,Ober Consistorium Kanzley,Q506903,,Q43247,Wilhelm Friedrich Stölzel,Wilhelm Friedrich Stölzel,unverändert,Consistorial-Rath,General-Superintendendens,Pastor primarius,,,,,,,,,,,,,,
126,Ober Consistorium Kanzley,Q506903,,Q41514,Christian Wilhelm Bause,Christian Wilhelm Bause,andere Qualli,Consistorial-Rath,Oberhofprediger,,,,,,,,,,,,,,,
127,Ober Consistorium Kanzley,Q506903,,,Friedrich Ernst Heinrich  Hendrich,Friedrich Ernst Heinrich  Hendrich,unverändert,Hof-Rath,Consistorial- Rath,,,,,,,,,,,,,,,
128,Ober Consistorium Kanzley,Q506903,,Q192558,Johann Ernst Golde,Johann Ernst Golde,unverändert,Secretarius,,,,,,,,,,,,,,,,
129,Ober Consistorium Kanzley,Q506903,,Q192826,Johann Benjamin Lattermann,Johann Benjamin Lattermann,unverändert,Consistorial-Secretarius,,,,,,,,,,,,,,,,
130,Ober Consistorium Kanzley,Q506903,,Q99151,Wilhelm Jonathan Löw,Wilhelm Jonathan Löw,unverändert,Consistorial-Registrator,,,,,,,,,,,,,,,,
131,Ober Consistorium Kanzley,Q506903,,Q192979,Johann August Sommer,Johann August Sommer,unverändert,Consistorial-Registrator,,,,,,,,,,,,,,,,
132,Ober Consistorium Kanzley,Q506903,,,Johann Ernst Scharf,Johann Ernst Scharf,unverändert,Consistorial-Actuarius,,,,,,,,,,,,,,,,
133,Ober Consistorium Kanzley,Q506903,,,Johann Adam Ernst Benedict Gerlach,Johann Adam Ernst Benedict Gerlach,unverändert,Actuarius,,,,,,,,,,,,,,Benedict,,
134,Ober Consistorial-Archiv,Q506904,,Q154940,Christian Friedrich August Brückner,Christian Friedrich August Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,,,,
135,Consistorial-Bothen,Q506905,,Q507066,Andeas Geyrnsbach,Andeas Geyrnsbach,unverändert,,,,,,,,,,,,,,,,,
136,Consistorial-Bothen,Q506905,,Q507067,August Jacob Hild,August Jacob Hild,unverändert,,,,,,,,,,,,,,,,,
137,Consistorial-Bothen,Q506905,,,Johann Andreas Holbein,Johann Andreas Holbein,unverändert,Beyboth,,,,,,,,,,,,,,,,
138,Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28051,Wilhelm von Rotberg,Wilhelm von Rotberg,unverändert,Wirklicher Geheimrat,Cammer-Präsident,Oberhofmeister,,,,,,,,,,,,,,
139,Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28057,Eberhard Sylvius von Frankenberg,Eberhard Sylvius von Frankenberg,unverändert,Hofmarschall,Cammerrath,,,,,,,,,,,,,,,
140,Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28055,Carl Levin Otto von Lenthe,Carl Levin Otto von Lenthe,unverändert,Cammer-Herr,Cammerrath,,,,,,,,,,,,,,,
141,Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q507809,Johann Wilhelm  von Tümmel,Johann Wilhelm  von Tümmel,unverändert,Cammer-Herr,Cammerrath,,,,,,,,,,,,,,,
142,Cammer Consulent,Q510697,,Q97818,Christian Ludwig Saul,Christian Ludwig Saul,unverändert,Rath,Cammer-Consulent,Regierungs-Fiscal,,,,,,,,,,,,,,
143,Rentherey        Expeditions-Department,Q510697,,Q507073,Christan Friedrich Schmidt,Christan Friedrich Schmidt,unverändert,Land Cammerrath,Rentmeister,,,,,,,,,,,,,,,
144,Rentherey        Expeditions-Department,Q510697,,Q156858,Johann August Möller,Johann August Möller,unverändert,Cammer-Commissarius,Steuer-Secretaius,,,,,,,,,,,,,,,
145,Rentherey        Expeditions-Department,Q510697,,Q507074,August Friedrich Waitz,August Friedrich Waitz,unverändert,Cammer-Secretarius,,,,,,,,,,,,,,,,
146,Rentherey        Expeditions-Department,Q510697,,Q507090,Georg Adam Bernhard Lotz,Georg Adam Bernhard Lotz,unverändert,Forst-Secretarius,,,,,,,,,,,,,,,,
147,Rentherey        Expeditions-Department,Q510697,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,Cammer-Secretarius,Cammer Produrator,Regierungs-Fiscal,,,,,,,,,,,,,,
148,Rentherey        Expeditions-Department,Q510697,,,Friedrich Wilhelm Stopffel,Friedrich Wilhelm Stopffel,unverändert,Cammer-Secretar,,,,,,,,,,,,,,,,
149,Cammer Archiv,Q506910,,Q160600,Friedrich Carl Brückner,Friedrich Carl Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,,,,
150,Cammer Archiv,Q506910,,Q507075,Johann August Rudolph Heidenreich,Johann August Rudolph Heidenreich,unverändert,Wirklicher-Secretarius,,,,,,,,,,,,,,,,
151,Cammer Archiv,Q506911,,Q507076,Christian Gottfried Wunderlich,Christian Gottfried Wunderlich,unverändert,Cammer-Registsrator,,,,,,,,,,,,,,,,
152,Canzellisten-Cabinet,Q506911,,Q507078,Christian Pöhler,Christian Pöhler,andere Qualli,Cammer-Bothenmeister,,,,,,,,,,,,,,,,
153,Canzellisten-Cabinet,Q506911,,Q507079,Johann Christoph Voigt,Johann Christoph Voigt,unverändert,Actuarius,,,,,,,,,,,,,,,,
154,Canzellisten-Cabinet,Q506911,,Q507080,Anton Franz Kaupert,Anton Franz Kaupert,unverändert,Actuarius,,,,,,,,,,,,,,,,
155,Canzellisten-Cabinet,Q506911,,Q507081,Georg Benjamin Zachariä,Georg Benjamin Zachariä,unverändert,Cammer Agent,,,,,,,,,,,,,,,,
156,Canzellisten-Cabinet,Q506911,,,Georg August Kayser,Georg August Kayser,unverändert,Canzlist,,,,,,,,,,,,,,,,
157,Canzellisten-Cabinet,Q506911,,Q507082,Christian Wilhelm Schmidt,Christian Wilhelm Schmidt,unverändert,Canzlist,,,,,,,,,,,,,,,,
158,Canzellisten-Cabinet,Q506911,,Q507084,Georg  August Kayser,Georg  August Kayser,unverändert,Canzlist,,,,,,,,,,,,,,,,
159,Canzellisten-Cabinet,Q506911,,,Johann Christian Ludwig Wolffram,Johann Christian Ludwig Wolffram,anderer VN,Canzlist,,,,,,,,,,,,,,,,
160,Rechnungs-Departement,Q510698,,Q507088,Cristian Friedrich Schmidt,Cristian Friedrich Schmidt,unverändert,Land-Cammerrath,Rentmeister,,,,,,,,,,,,,,,
161,Rechnungs-Departement,Q510698,,Q156858,Johann August Möller,Johann August Möller,unverändert,Cammer-Commissarius,Steuersecretar,,,,,,,,,,,,,,,
